 < 21:57:12 >  0 25 35,6870880126953 False 0 25 35,6870880126953 False 
 < 21:57:13 >  0 25 35,5655250549316 False 0 25 35,5655250549316 False 
 < 21:57:14 >  0 25 35,515739440918 False 0 25 35,515739440918 False 
 < 21:57:15 >  0 25 35,5487060546875 False 0 25 35,5487060546875 False 
 < 21:57:16 >  0 25 35,4468383789063 False 0 25 35,4468383789063 False 
 < 21:57:17 >  0 25 35,7299880981445 False 0 25 35,7299880981445 False 
 < 21:57:18 >  0 25 35,9336853027344 False 0 25 35,9336853027344 False 
 < 21:57:19 >  0 25 35,8500061035156 False 0 25 35,8500061035156 False 
 < 21:57:20 >  0 25 35,575798034668 False 0 25 35,575798034668 False 
 < 21:57:21 >  0 25 35,5208549499512 False 0 25 35,5208549499512 False 
 < 21:57:22 >  0 25 35,4757690429688 False 0 25 35,4757690429688 False 
 < 21:57:23 >  0 25 35,5952682495117 False 0 25 35,5952682495117 False 
 < 21:57:24 >  0 25 35,768741607666 False 0 25 35,768741607666 False 
 < 21:57:25 >  0 25 35,6394691467285 False 0 25 35,6394691467285 False 
 < 21:57:26 >  0 25 35,453685760498 False 0 25 35,453685760498 False 
 < 21:57:27 >  0 25 35,4831008911133 False 0 25 35,4831008911133 False 
 < 21:57:28 >  0 25 35,6358337402344 False 0 25 35,6358337402344 False 
 < 21:57:29 >  0 25 35,8614273071289 False 0 25 35,8614273071289 False 
 < 21:57:30 >  0 25 35,711009979248 False 0 25 35,711009979248 False 
 < 21:57:31 >  0 25 35,843563079834 False 0 25 35,843563079834 False 
 < 21:57:32 >  0 25 35,6377372741699 False 0 25 35,6377372741699 False 
 < 21:57:33 >  0 25 35,6826057434082 False 0 25 35,6826057434082 False 
 < 21:57:34 >  0 25 35,7211952209473 False 0 25 35,7211952209473 False 
 < 21:57:35 >  0 25 35,4533805847168 False 0 25 35,4533805847168 False 
 < 21:57:36 >  0 25 35,3486785888672 False 0 25 35,3486785888672 False 
 < 21:57:37 >  0 25 35,5567169189453 False 0 25 35,5567169189453 False 
 < 21:57:38 >  0 25 35,7026519775391 False 0 25 35,7026519775391 False 
 < 21:57:39 >  0 25 35,6928901672363 False 0 25 35,6928901672363 False 
 < 21:57:40 >  0 25 35,7243270874023 False 0 25 35,7243270874023 False 
 < 21:57:41 >  0 25 35,7371597290039 False 0 25 35,7371597290039 False 
 < 21:57:42 >  0 25 35,7850189208984 False 0 25 35,7850189208984 False 
 < 21:57:43 >  0 25 36,0106048583984 False 0 25 36,0106048583984 False 
 < 21:57:44 >  0 25 36,135669708252 False 0 25 36,135669708252 False 
 < 21:57:45 >  0 25 35,7037010192871 False 0 25 35,7037010192871 False 
 < 21:57:46 >  0 25 35,8579025268555 False 0 25 35,8579025268555 False 
 < 21:57:47 >  0 25 35,8465766906738 False 0 25 35,8465766906738 False 
 < 21:57:48 >  0 25 35,7189483642578 False 0 25 35,7189483642578 False 
 < 21:57:49 >  0 25 35,6212120056152 False 0 25 35,6212120056152 False 
 < 21:57:50 >  0 25 35,7071418762207 False 0 25 35,7071418762207 False 
 < 21:57:51 >  0 25 35,8330497741699 False 0 25 35,8330497741699 False 
 < 21:57:52 >  0 25 35,824089050293 False 0 25 35,824089050293 False 
 < 21:57:53 >  0 25 35,852783203125 False 0 25 35,852783203125 False 
 < 21:57:54 >  0 25 35,8654136657715 False 0 25 35,8654136657715 False 
 < 21:57:55 >  0 25 35,7658996582031 False 0 25 35,7658996582031 False 
 < 21:57:56 >  0 25 35,9749488830566 False 0 25 35,9749488830566 False 
 < 21:57:57 >  0 25 35,7294120788574 False 0 25 35,7294120788574 False 
 < 21:57:58 >  0 25 35,4324150085449 False 0 25 35,4324150085449 False 
 < 21:57:59 >  0 25 35,4447288513184 False 0 25 35,4447288513184 False 
 < 21:58:00 >  0 25 35,8004188537598 False 0 25 35,8004188537598 False 
 < 21:58:01 >  0 25 36,0186004638672 False 0 25 36,0186004638672 False 
 < 21:58:02 >  0 25 35,7614517211914 False 0 25 35,7614517211914 False 
 < 21:58:03 >  0 25 35,628662109375 False 0 25 35,628662109375 False 
 < 21:58:04 >  0 25 35,6250114440918 False 0 25 35,6250114440918 False 
 < 21:58:05 >  0 25 35,6827697753906 False 0 25 35,6827697753906 False 
 < 21:58:06 >  0 25 35,6950263977051 False 0 25 35,6950263977051 False 
 < 21:58:07 >  0 25 35,7980461120605 False 0 25 35,7980461120605 False 
 < 21:58:08 >  0 25 35,8094100952148 False 0 25 35,8094100952148 False 
 < 21:58:09 >  0 25 35,8558349609375 False 0 25 35,8558349609375 False 
 < 21:58:10 >  0 25 36,0800094604492 False 0 25 36,0800094604492 False 
 < 21:58:11 >  0 25 36,2036933898926 False 0 25 36,2036933898926 False 
 < 21:58:12 >  0 25 35,7703704833984 False 0 25 35,7703704833984 False 
 < 21:58:13 >  0 25 35,9232482910156 False 0 25 35,9232482910156 False 
 < 21:58:14 >  0 25 35,9106178283691 False 0 25 35,9106178283691 False 
 < 21:58:15 >  0 25 35,7631072998047 False 0 25 35,7631072998047 False 
 < 21:58:16 >  0 25 35,682731628418 False 0 25 35,682731628418 False 
 < 21:58:17 >  0 25 35,7674369812012 False 0 25 35,7674369812012 False 
 < 21:58:18 >  0 25 35,8921432495117 False 0 25 35,8921432495117 False 
 < 21:58:19 >  0 25 35,882007598877 False 0 25 35,882007598877 False 
 < 21:58:20 >  0 25 35,9095497131348 False 0 25 35,9095497131348 False 
 < 21:58:21 >  0 25 35,9210472106934 False 0 25 35,9210472106934 False 
 < 21:58:22 >  0 25 35,8204307556152 False 0 25 35,8204307556152 False 
 < 21:58:23 >  0 25 36,028392791748 False 0 25 36,028392791748 False 
 < 21:58:24 >  0 25 35,7817916870117 False 0 25 35,7817916870117 False 
 < 21:58:25 >  0 25 35,4837532043457 False 0 25 35,4837532043457 False 
 < 21:58:26 >  0 25 35,4950485229492 False 0 25 35,4950485229492 False 
 < 21:58:27 >  0 25 35,8497352600098 False 0 25 35,8497352600098 False 
 < 21:58:28 >  0 25 36,0669364929199 False 0 25 36,0669364929199 False 
 < 21:58:29 >  0 25 35,8088264465332 False 0 25 35,8088264465332 False 
 < 21:58:30 >  0 25 35,6750946044922 False 0 25 35,6750946044922 False 
 < 21:58:31 >  0 25 35,6705207824707 False 0 25 35,6705207824707 False 
 < 21:58:32 >  0 25 35,7273712158203 False 0 25 35,7273712158203 False 
 < 21:58:33 >  0 25 35,7387428283691 False 0 25 35,7387428283691 False 
 < 21:58:34 >  0 25 35,7788314819336 False 0 25 35,7788314819336 False 
 < 21:58:35 >  0 25 35,9769058227539 False 0 25 35,9769058227539 False 
 < 21:58:36 >  0 25 36,0746269226074 False 0 25 36,0746269226074 False 
 < 21:58:37 >  0 25 35,9054183959961 False 0 25 35,9054183959961 False 
 < 21:58:38 >  0 25 35,9960327148438 False 0 25 35,9960327148438 False 
 < 21:58:39 >  0 25 36,0642356872559 False 0 25 36,0642356872559 False 
