 < 22:17:21 >  0 0 
 < 22:24:37 >  297.413269042969 0.462672114372253 2.91695761680603 
 < 22:24:38 >  297.099456787109 0.838415443897247 2.87970161437988 
 < 22:24:39 >  296.72216796875 1.201695561409 2.82896447181702 
 < 22:24:40 >  296.607971191406 1.25162065029144 2.81350946426392 
 < 22:24:41 >  296.39306640625 1.34546363353729 2.78462815284729 
 < 22:24:42 >  296.103546142578 1.48494946956635 2.74604916572571 
 < 22:24:43 >  296.015533447266 1.53064799308777 2.73434638977051 
 < 22:24:44 >  295.85205078125 1.62309384346008 2.71253514289856 
 < 22:24:45 >  295.638641357422 1.7694274187088 2.68334007263184 
 < 22:24:46 >  295.576202392578 1.82054054737091 2.67449927330017 
 < 22:24:47 >  295.464721679688 1.92627501487732 2.65807461738586 
 < 22:24:48 >  295.331726074219 2.09349846839905 2.63632559776306 
 < 22:24:49 >  295.296752929688 2.1514356136322 2.62979650497437 
 < 22:24:50 >  295.241149902344 2.27030277252197 2.6177830696106 
 < 22:24:51 >  295.194122314453 2.45508527755737 2.60223817825317 
 < 22:24:52 >  295.188293457031 2.51808762550354 2.59343838691711 
 < 22:24:53 >  295.191558837891 2.64563918113708 2.58949494361877 
 < 22:24:54 >  295.233642578125 2.83915138244629 2.57945108413696 
 < 22:24:55 >  295.257568359375 2.90375375747681 2.5766875743866 
 < 22:24:56 >  295.320037841797 3.03230738639832 2.57211422920227 
 < 22:24:57 >  295.401611328125 3.15903687477112 2.56874513626099 
 < 22:24:58 >  295.55859375 3.34314060211182 2.56607723236084 
 < 22:24:59 >  295.619750976563 3.40231919288635 2.56584882736206 
 < 22:25:00 >  295.754577636719 3.51649355888367 2.56642746925354 
 < 22:25:01 >  295.985961914063 3.67523217201233 2.56996631622314 
 < 22:25:02 >  296.070220947266 3.72428321838379 2.57190370559692 
 < 22:25:03 >  296.248321533203 3.81586718559265 2.57695364952087 
 < 22:25:04 >  296.536407470703 3.93553256988525 2.58759117126465 
 < 22:25:05 >  296.637176513672 3.97037887573242 2.59195184707642 
 < 22:25:06 >  296.844543457031 4.03215789794922 2.60181760787964 
 < 22:25:07 >  297.166778564453 4.10456943511963 2.61903691291809 
 < 22:25:08 >  297.276306152344 4.12327146530151 2.63166880607605 
 < 22:25:09 >  297.497253417969 4.15260648727417 2.63823175430298 
 < 22:25:10 >  297.830413818359 4.17698907852173 2.65836977958679 
 < 22:25:11 >  297.941192626953 4.18009901046753 2.66511917114258 
 < 22:25:12 >  298.161224365234 4.17921590805054 2.67853045463562 
 < 22:25:13 >  298.485168457031 4.16136360168457 2.69822788238525 
 < 22:25:14 >  298.590942382813 4.15136384963989 2.70460963249207 
 < 22:25:15 >  298.798400878906 4.12587308883667 2.71706557273865 
 < 22:25:16 >  299.097625732422 4.07535886764526 2.73480176925659 
 < 22:25:17 >  299.193786621094 4.05564594268799 2.74044060707092 
 < 22:25:18 >  299.380249023438 4.01249408721924 2.75129365921021 
 < 22:25:19 >  299.558349609375 3.96500134468079 2.76150274276733 
 < 22:25:20 >  299.808959960938 3.88724398612976 2.77564597129822 
 < 22:25:21 >  299.887908935547 3.85992670059204 2.78005647659302 
 < 22:25:22 >  300.038726806641 3.80368113517761 2.78838229179382 
 < 22:25:23 >  300.247009277344 3.71640682220459 2.79969239234924 
 < 22:25:24 >  300.311614990234 3.68681359291077 2.80647039413452 
 < 22:25:25 >  300.43359375 3.62722682952881 2.80961179733276 
 < 22:25:26 >  300.598571777344 3.53767657279968 2.81812167167664 
 < 22:25:27 >  300.648834228516 3.50797152519226 2.82065677642822 
 < 22:25:28 >  300.742370605469 3.44903612136841 2.825199842453 
 < 22:25:29 >  300.865631103516 3.36233472824097 2.83078861236572 
 < 22:25:30 >  300.902313232422 3.30602860450745 2.83360981941223 
 < 22:25:31 >  300.969299316406 3.27839970588684 2.83474159240723 
 < 22:25:32 >  301.054412841797 3.19785618782043 2.83693718910217 
 < 22:25:33 >  301.078887939453 3.14627814292908 2.83731079101563 
 < 22:25:34 >  301.122222900391 3.12116765975952 2.83713436126709 
 < 22:25:35 >  301.158477783203 3.0723340511322 2.83600926399231 
 < 22:25:36 >  301.200561523438 3.00267124176025 2.83245372772217 
 < 22:25:37 >  301.211517333984 2.98041892051697 2.83073091506958 
 < 22:25:38 >  301.229125976563 2.93737936019897 2.82649493217468 
 < 22:25:39 >  301.245635986328 2.87647557258606 2.81838965415955 
 < 22:25:40 >  301.248687744141 2.85712671279907 2.8152642250061 
